"debate_title","motion_text"
"Agricultural Wages Board","I beg to move, That this House notes that the Agricultural Wages Board (AWB) was set up in 1948 to provide a fair wage and skills structure for agricultural workers; recognises that it is used as a benchmark for other employment in the food industry and that it was the only wages council not to be scrapped in the 1980s; further notes that around a quarter of agricultural workers live in tied accommodation and that casual seasonal workers may move around the country; regrets that the Welsh Government’s wish to retain the AWB has been ignored by the Government; condemns the Government for its abolition of the AWB, which took place after just four weeks consultation and will take £260 million out of the rural economy over the next 10 years, lead to a race to the bottom on wages in rural areas, reduce living standards and impoverish rural workers, exacerbating social deprivation and harming social inclusion; further regrets that hon. Members could not debate that issue as part of the Enterprise and Regulatory Reform Bill; and calls on the Government to drop its plans to abolish the AWB."
"Growth and Infrastructure Bill","I beg to move, That this House does not insist on its amendment 25E, to which the Lords have disagreed, and agrees with the Lords in their amendments 25H rev and 25J in lieu."
"Railways","I beg to move, That this House takes note of European Union Documents No. 5855/13, a Commission Communication: The Fourth Railway Package-completing the single European railway area to foster European competitiveness and growth, No. 6012/13 and Addenda 1 and 2, a Draft Regulation on the European Union Agency for Railways and repealing Regulation (EC) No. 881/2004, No. 6013/13 and Addenda 1 and 2, a Draft Directive on the interoperability of the rail system within the European Union (Recast), No. 6014/13 and Addenda 1 and 2, a Draft Directive on railway safety (Recast), No. 6017/13, a Commission Report on the progress made towards achieving interoperability of the rail system, No 6019/13, a Commission Report on the profile and tasks of other train crew members, No. 5960/13 and Addenda 1 to 5, a Draft Regulation amending Regulation (EC) No. 1370/2007 concerning the opening of the market for domestic passenger transport services by rail, No. 5985/13 and Addenda 1 to 7, a Draft Directive amending Directive 2012/34/EU establishing a single European railway area, as regards the opening of the market for domestic passenger transport services by rail and the governance of the railway infrastructure, and No. 6020/13, a Commission report on the implementation of the provisions of Directive 2007/58/EC on the opening of the market of international rail passenger transport accompanying the Communication on the fourth railway package; supports the Government’s aim of ensuring any resulting measures are appropriate, encourage competition and help to deliver a level playing field across the EU; and further supports the Government’s view that any such measures should be evidence-based, proportionate and reduce or at least minimise the regulatory, administrative and cost burden for industry."
"Cost of Living","I beg to move an amendment. At the end of the motion add: ‘but believe that the Gracious Speech offers no answers for squeezed households facing a cost of living crisis; regret that the economy is flatlining, unemployment is rising, borrowing is set to be £245 billion more than planned and the Office of Budget Responsibility has confirmed that by 2015 people will be worse off than they were in 2010; and call on your Government to take real action to get people back into employment, build more affordable homes, tackle rising energy and water bills, tackle the growing cost of getting to work and instability in private sector housing rents and tenancies and end extortionate letting agents’ fees and charges.’."
"Economic Growth","I beg to move amendment (g), at end add: ‘but regret that the Gracious Speech has no answer to a flatlining economy, the rising cost of living and a deficit reduction plan that has stalled, nor does it address the long-term economic challenges Britain faces; believe that the priority for the Government now should be growth and jobs and that we need reform of the European Union, not four years of economic uncertainty which legislating now for an in/out referendum in 2017 would create; call on your Government to take action now to kickstart the economy, help families with the rising cost of living, and make long-term economic reforms for the future; and call on your Government to implement the five point plan for jobs and growth, including bringing forward long-term infrastructure investment, building 100,000 affordable homes and introducing a compulsory jobs guarantee for the long-term unemployed in order to create jobs and help to get the benefits bill and deficit down, legislate now for a decarbonisation target for 2030 in order to give business the certainty it needs to invest, implement the recommendations of the Parliamentary Commission on Banking Standards and establish a proper British Investment Bank.’."
"New Review of civil partnership","I beg to move, That the clause be read a Second time."
"Schedule 6		Marriage overseas","I beg to move, That the Bill be now read the Third time."
"Schedule 14		Consumer redress orders","I beg to move amendment 2, page 192, line 9, leave out subsection (4)."
"Decarbonisation","I beg to move amendment 11, page 1, line 4, after ‘ensure’, insert— ‘that a decarbonisation target range is set and that’."
"Financial provisions","I beg to move, That the Bill be now read the Third time."
"Accident and Emergency Waiting Times","I beg to move, That this House is concerned about the growing pressure on Accident and Emergency (A&E) departments across the country over recent months; notes this week’s report from the King’s Fund which concludes that waiting times in A&E recently hit a nine-year high; further notes that in the Labour Government’s last year in office 98 per cent of patients were seen within four hours; believes that a combination of factors lies behind the extra pressure on hospitals but that severe cuts to social care budgets are one of the most significant causes; is further concerned that one in three hospitals in England say they do not have sufficient staffing levels to deal safely with demand on services; further notes that over 4,000 nursing posts have been lost from the NHS since May 2010 and that a recent survey by the Health Service Journal revealed that a further round of front-line clinical job losses are planned for the coming year; further believes that the Government has failed to show sufficient urgency in dealing with these problems; and calls on the Government to bring forward an urgent plan to ease pressure on hospitals by, amongst other things, re-allocating £1.2 billion of the 2012-13 Department of Health underspend to support social care in 2013-14 and 2014-15, and ensuring adequate staffing levels at every hospital in England."
"Opposition Day		 		Protecting Children Online","I beg to move, That this House deplores the growth in child abuse images online; deeply regrets that up to one and a half million people have seen such images; notes with alarm the lack of resources available to the police to tackle this problem; further notes the correlation between viewing such images and further child abuse; notes with concern the Government’s failure to implement the recommendations of the Bailey Review and the Independent Parliamentary Inquiry into Online Child Protection on ensuring children’s safe access to the internet; and calls on the Government to set a timetable for the introduction of safe search as a default, effective age verification and splash page warnings and to bring forward legislative proposals to ensure these changes are speedily implemented."
"Opposition Day		 		Lobbying","I beg to move an amendment, to leave out from “House” to the end and add: “notes the failure of the previous administration to implement a statutory register of lobbyists for 13 years; welcomes the Coalition Agreement commitment to regulate lobbying through a statutory register; notes the Government’s consultation paper on Introducing a Statutory Register of Lobbyists; welcomes the Government’s commitment to bring forward legislation before the summer recess to introduce a statutory register of lobbyists, as part of a broad package of measures to tighten the rules on how third parties can influence the UK’s political system; and looks forward to welcoming reforms that ensure that the activities of outside organisations who seek to influence the political process are transparent, accountable and properly regulated.” I move the amendment on behalf of the Government both as Leader of the House, in which capacity I seek to protect and promote the reputation of the House, which the motion claims might have been damaged—I am sorry that my being here disappoints the hon. Member for Hemsworth (Jon Trickett), who wanted other Ministers to be here, but I am pleased to be here, and am here as a volunteer, not a pressed man—and as a Cabinet Minister who, with ministerial colleagues, has policy responsibilities in this regard. I, along with the Parliamentary Secretary, Cabinet Office, my hon. Friend the Member for Norwich North (Miss Smith), who has responsibility for political and constitutional reform, and the Deputy Leader of the House of Commons, my right hon. Friend the Member for Carshalton and Wallington (Tom Brake), will take responsibility for the forthcoming Bill, which, as the amendment makes clear, we have committed to introduce before the summer recess. It will be a Bill to implement our coalition programme commitment to introduce a statutory register of lobbyists and to promote transparency and an improved regulatory framework for the influence of third parties in the political system."
"New Report on the additional rate of income tax","I beg to move, That the clause be read a Second time."
"New Lower rate of tax and mansion tax","I beg to move, That the clause be read a Second time."
"New Impact of the Spending Round 2013 on tax revenue","I beg to move, That the clause be read a Second time."
"Real estate investment trusts: UK REITs which invest in other UK REITs","I beg to move amendment 57, page 15, line 16, at end insert— ‘(2) Notwithstanding the provisions of paragraph 13 of Schedule 18, that Schedule shall come into force after the Chancellor has conducted, and placed in the House of Commons Library, a review of the operation of the interaction of REITs with the Housing Market. The Review shall consider— (a) tax measures in place to support house building; and (b) what steps HM Government have taken to support house building.’."
"New Stamp duty reserve tax","I beg to move, That the clause be read a Second time."
"European Union (Referendum) Bill","I beg to move, That the Bill be now read a Second time."
"New Leverage ratio","I beg to move, That the clause be read a Second time."
"New Competition and Markets Authority review into competitiveness","I beg to move, That the clause be read a Second time."
"Donations","I beg to move amendment 7, page 2, line 25, leave out ‘October’ and insert ‘January’."
"MPs to be disqualified for membership of Assembly","I beg to move amendment 10, page 4, line 5, after ‘Commons’, insert ‘or House of Lords’."
"Backbench Business		Arms to Syria","I beg to move, That this House believes no lethal support should be provided to anti-government forces in Syria without the explicit prior consent of Parliament."
"2014 JHA Opt-out Decision","I beg to move, That this House believes that the UK should opt out of all EU police and criminal justice measures adopted before December 2009 and seek to rejoin measures where it is in the national interest to do so and invites the European Scrutiny Committee, the Home Affairs Select Committee and the Justice Select Committee to submit relevant reports before the end of October, before the Government opens formal discussions with the Commission, Council and other Member States on the set of measures in Command Paper 8671, prior to the Government’s formal application to rejoin measures in accordance with Article10(5) of Protocol 36 to the TFEU."
"Opposition Day		 		Paid Directorships and Consultancies (MPs)","I beg to move, That this House believes that, as part of a wider regulatory framework for second jobs, from the start of the next Parliament no hon. Members should be permitted to hold paid directorships or consultancies."
"Opposition Day		 		Living Standards","I beg to move, That this House believes that the Government is failing to turn things around for the UK’s hard working families; notes that this has been the slowest economic recovery on record, and that the Government is out of touch with the difficulties faced by ordinary families; recognises that average earnings are almost £1,500 a year lower in real terms than they were in 2010; notes in addition that tax and benefit changes since 2010 are costing families an average of £891 in 2013-14 according to the Institute for Fiscal Studies; further notes that the Government is making hard-working families pay more than their share to bring down the deficit while cutting income tax by an average of £100,000 for the 13,000 people with incomes over £1 million; and calls on the Government to ensure that the recovery is strengthened, sustainable and its benefits fairly shared by getting more people into work, bringing forward capital investment, as recommended by the IMF, introducing a compulsory jobs guarantee, backing fair taxes by reintroducing a 10p rate of income tax, paid for by a mansion tax on houses worth over £2 million, taking action on rip-off rail fares and soaring energy bills, standing up for families in the private rented sector, reforming the pensions industry, curbing payday lenders and implementing long-term reforms to banking, infrastructure planning and the skills system."
"Energy Prices and Profits","I beg to move, That this House recognises the importance of the energy industry to the security and prosperity of the UK economy; notes that the average household energy bill has increased by over £300 since the 2010 general election; further notes that the big six energy companies have had a £3.3 billion uplift in profits over the same period; welcomes the recent report on Energy Prices, Profits and Poverty from the Energy and Climate Change Committee (Fifth Report, HC 108) which found that Ofgem is failing consumers; regrets that the Government has halved support for people in fuel poverty, and that as of 20 August 2013 only 132 households had signed up for a Green Deal plan; further regrets the Prime Minister’s broken promise to legislate so that energy companies have to give the lowest tariff to their customers; and calls on the Government to bring forward amendments to the Energy Bill to make the energy market more competitive and transparent by requiring energy companies to pool the power they generate and to make it available to any retailer, to create a tough new energy watchdog with the power to force energy companies to pass on price cuts when wholesale costs fall, and to put all over-75 year olds on the cheapest tariff."
"Prohibition on consultant lobbying unless registered","I beg to move amendment 2, in line 5, leave out ‘consultant’ and insert ‘professional’."
"Meaning of “controlled expenditure”","I beg to move amendment 47, in clause 26, page 12, line 23, leave out ‘subsections (2) to (4)’ and insert ‘subsection (2)’.’."
"Changes to existing limits","I beg to move amendment 101, page 13, line 31, at end insert— ‘( ) In section 94(1) of the Political Parties Elections and Referendums Act 2000, after subsection (1) insert— (1A) During a regulated period no controlled expenditure is to be incurred by any third party that is in receipt of public funds in the 12 month period prior to the start of the regulated period.”."
"Duty to Provide Membership Audit Certificate","I beg to move amendment 103, page 37, line 39, leave out ‘in relation to each reporting period’ and insert ‘if (a) a formal complaint is received by the Certification Officer that would result in the Certification Officer requiring a membership audit in relation to the reporting period when the complaint was verified and (b) the Certification Officer determined that a certificate was required.’."
"Duty to appoint an assurer etc","I beg to move amendment 107, page 39, line 7, at end add— ‘, and (c) to have a duty of confidentiality to the trade union and its members; and (d) to abide at all times by the trade union’s obligations under the Data Protection Act 1998 to protect the information of members.’."
"[Mr Speaker in the Chair]","I beg to move, That the House sit in private."
"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill (Programme) (No. 2)","I beg to move, That the Order of 3 September 2013 (Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill: Programme) be varied as follows: Proceedings on Consideration For paragraph (6) substitute– “(6) Proceedings on Consideration– (a) shall be taken on the days shown in the first column of the following Table and in the order so shown, and (b) shall (so far as not previously concluded) be brought to a conclusion at the times specified in the second column of the Table."
"New Duty to apply a code of conduct","I beg to move, That the clause be read a Second time."
"Meaning of “controlled expenditure”","I beg to move amendment 32, page 12, leave out lines 31 to 33 and insert ‘“where— (a) the expenses fall within Part 1 of Schedule 8A, and ‘(b) the expenditure can reasonably be regarded as intended to promote or procure electoral success at any relevant election for— (i) one or more particular registered parties, (ii) one or more registered parties who advocate (or do not advocate) particular policies or who otherwise fall within a particular category of such parties, or (iii) candidates who hold (or do not hold) particular opinions or who advocate (or do not advocate) particular policies or who otherwise fall within a particular category of candidates.”’."
"Changes to existing limits","I beg to move amendment 102, page 13, line 37, leave out clause 27."
"Anti-Social Behaviour, Crime and Policing Bill (Programme) (No. 2)","I beg to move, That the following provisions shall apply to the Anti-Social Behaviour, Crime and Policing Bill, in place of paragraphs (4) and (5) of the Order of 10 June 2013: (1) Proceedings on Consideration and proceedings on Third Reading shall be taken in two days in accordance with the following provisions of this Order."
"New Dog control notices","I beg to move, That the clause be read a Second time."
"Opposition Day		 		Zero-hours Contracts","I beg to move, That this House notes the marked rise in the use of zero hours contracts with recent estimates that as many as a million employees are employed on them and that they are used in over a quarter of workplaces, contributing to growing insecurity for families across the UK; and therefore calls on the Government to initiate a full consultation and formal call for evidence on the use of zero hours contracts and on proposals to prevent abuses by employers of such contracts, for example, by stopping employees on zero hours contracts being required to work exclusively for one employer, stopping the use of contracts that require zero hour workers to be available on the off-chance they are needed but with no guarantee of work, banning the use of zero hours contracts where employees are in practice working regular hours and putting in place a code of practice on the use of zero hours contracts."
"High Streets","I beg to move, That this House recognises that high streets and town and city centres are vital to local economies; acknowledges that many small businesses and retailers are struggling under the pressure of business rates rises; notes that since 2010 shop vacancy rates have remained at over 14 per cent but that there has been a 20 per cent increase in numbers of payday loan shops and a three per cent increase in numbers of betting shops in the last year; is concerned that recent changes to permitted development rights and use classes are likely to lead to an over-concentration of betting shops and payday loan companies in many areas, against the wishes of local people and businesses; and calls on the Government to give local communities a greater say over the shape of their own high streets and town and city centres, including control over use classes, to help encourage the more widespread use of neighbourhood planning and greater cooperation between local communities and businesses and to cut and then freeze business rates from 2015 to help small businesses on UK high streets and town and city centres."
"Defence Reforms","I beg to move, That this House notes concerns about the Government’s defence reforms in relation to whether its proposals for the reserve forces will deliver either the anticipated cost savings or defence capability; and urges the Government to delay the disbandment of regular units until it is established that the Army Reserve plan is viable and cost-effective."
"House of Lords Reform (No. 2) Bill","I beg to move, That the Bill be now read a Second time."
"Immigration Bill","I beg to move, That the Bill be now read a Second time."
"Air Passenger Duty","I beg to move, That this House recognises that the UK has the highest rate of air passenger duty (APD) in the world; believes that this is detrimental to attracting inward investment, encouraging exports, drawing more tourists to the UK and helping ordinary families to benefit from aviation; notes research carried out by PricewaterhouseCoopers and others stating that abolishing APD would not only pay for itself but would be a permanent economic boost to the UK economy and create tens of thousands of jobs; further believes that the abolition of this tax would be of benefit to all regions of the UK; further notes that it is the intention of the Prime Minister to review green taxes; and calls on the Government, as part of that review, to give high priority to the abolition of air passenger duty."
"New Work-based schemes: power to restrict charges or impose requirements","I beg to move, That the clause be read a Second time."
"Opposition Day		 		Qualified Teachers","I beg to move, That this House endorses the view that in state funded schools teachers should be qualified or working towards qualified teacher status while they are teaching."
"Opposition Day		[10th allotted day]		Energy Price Freeze","I beg to move, That this House calls on the Government to freeze electricity and gas prices for 20 months whilst legislation is introduced to ring-fence the generation businesses of the vertically integrated energy companies from their supply businesses, to require all electricity generators and suppliers to trade their power via an open exchange, to establish a tough new regulator with the power to force energy suppliers to pass on price cuts when wholesale costs fall, and to put all over-75-year-olds on the cheapest tariff."
"New Gibraltar","I beg to move, That the clause be read a Second time."
"Opposition Day		[12th allotted day]		Child Care","I beg to move, That this House recognises that families are facing rising childcare costs; notes the reduction in the availability of early years childcare; and calls on the Government to help work pay by extending from 15 to 25 hours the provision of free childcare for working parents of 3 and 4 year olds funded by an increase in the Bank Levy."
"Women and the Cost of Living","I beg to move, That this House believes that the Government is failing to deliver a recovery for women and is making women pay three times more than men to bring down the deficit, according to research by the House of Commons Library; notes that under this Government, women’s unemployment has reached its highest levels for a generation; further notes that wages are stagnating in jobs where women are predominant; and calls on the Government to support more women into decent work by extending free nursery places for 3 and 4 year olds from 15 to 25 hours a week for parents at work, provide a legal guarantee for 8am-6pm breakfast and afterschool club childcare, and bring in Make Work Pay contracts to provide a 12 months tax rebate for firms which sign up to pay the living wage."
"Opposition Day		13th Allotted Day		Cost of Living","I beg to move, That this House notes that the Government has failed to meet its own economic goals over the last three years with prices rising faster than wages for 40 out of 41 months, average earnings for working people £1,600 a year lower in real terms than in May 2010, economic growth far slower than expected, the Government’s pledge to balance the books by 2015 set to be broken and the UK’s credit rating downgraded; further notes that growth of 1.5 per cent is needed in every quarter between now and May 2015 in order to catch up the lost ground from three damaging years of flat-lining growth; believes the Chancellor of the Exchequer’s Autumn Statement should take action to tackle the cost-of-living crisis which means that for most families there is still no economic recovery and to ensure recovery delivers rising living standards for all, is balanced and built to last; and calls on the Government to bring forward measures including an energy price freeze and long-term reforms to the energy market, an extension of free childcare for working parents of three and four year olds, action to boost long-term housing supply and a compulsory jobs guarantee for young people and the long-term unemployed."
"Conduct of the referendum and further provisions","I beg to move amendment 52, page 2, line 2, after ‘report’, insert ‘by 1 March 2015’."
"Mesothelioma Bill [Lords]","I beg to move, That the Bill be now read a Second time."
"Schedule 4		Application and modification of emissions limit duty","I beg to move, That this House disagrees with Lords amendment 105."
"Business of the House (Today)","I beg to move, That, at today’s sitting, notwithstanding Standing Order No. 20 (Time for taking private business), the Private Business set down by the Chairman of Ways and Means may be entered upon at any hour, and may then be proceeded with, though opposed, for three hours, after which the Speaker shall interrupt the business."
"New Reduction of secondary Class 1 contributions for certain age groups","I beg to move, That the clause be read a Second time."
"Part 4","I beg to move, That this House disagrees with Lords amendment 41."
"regulation of payment systems","I beg to move, That this House agrees with Lords amendment 63."
"Code of practice on local authority publicity","I beg to move amendment 14, page 26, line 11, leave out ‘one or more specified local authorities’ and insert ‘a local authority’."
"Council tax referendums","I beg to move amendment 6, page 30, line 32, at end insert— ‘(13A) Subsections (14) to (16) apply (and subsections (18) to (20) do not apply) if, in accordance with section 49(2A), this section comes into force on the day on which this Act is passed.’."
"Opposition Day		 		Accident and Emergency","I beg to move, That this House is concerned about recent Government statements on Accident and Emergency (A&E) and Government claims that it is not in crisis; notes that last week, 79 A&Es and the NHS overall missed the Government’s A&E target; further notes that attendances at hospital A&Es have increased three times faster since 2009-10 than in the period from 2004-05 to 2009-10, and that in the last 12 months more than one million people have waited more than four hours; believes there are a range of reasons for the current pressure on Accident and Emergency but that difficulty in accessing GP services is one of the primary causes; regrets the Government’s decision to cut funding for evening and weekend GP opening and scrap the guarantee of a GP appointment within 48 hours; and, to ease the pressure in Accident and Emergency, calls on the Government to reverse for winter 2013 its scrapping of the 48-hour appointment guarantee."
"Food Banks","I beg to move, That this House notes that the number of people using foodbanks provided by the Trussell Trust alone has increased from 41,000 in 2010 to more than 500,000 since April this year, of whom one third were children; further notes that over the last three years prices have risen faster than wages; further notes the assessment of the Trussell Trust that the key factors in the rising resort to foodbanks are rising living costs and stagnant wages, as well as problems including delays to social security payments and the impact of the under-occupancy penalty; calls on the Government to publish the results of research into foodbanks commissioned by the Department for Environment, Food and Rural Affairs which Ministers promised would be made public in the summer of 2013; and further calls on the Government to bring forward measures to reduce dependency on foodbanks, including a freeze on energy prices, a water affordability scheme, measures to end abuses of zero hours contracts, incentives to companies to pay a living wage and abolition of the under-occupancy penalty."
"New Legislative competence for water in Wales","I beg to move, That the clause be read a Second time."
"New Research supplement","I beg to move, That the clause be read a Second time."
"Eligible people with diffuse mesothelioma","I beg to move amendment 5, page 1, line 15, leave out ‘25 July 2012’ and insert ‘10 February 2010’."
"Opposition Day		 		Housing","I beg to move, That this House notes that the Government has failed to tackle the acute housing shortage which is central to the cost of living crisis and over the last three years has presided over the lowest level of new homes built since the 1920s, with home ownership falling, rents at record highs and rising faster than wages and a record five million people in the queue for social housing; further notes that net housing supply under this Government has fallen to its lowest level since records began, and that affordable housing supply dropped in the last year by 26 per cent, homes built for social rent dropped to a 20-year low, while there has been a 104 per cent increase in in-work housing benefit claimants since 2009; believes that the Government should take action to tackle the housing shortage; and calls on the Government to boost housing supply by reforming the development industry and introducing measures to tackle landbanking, bringing forward plans to deliver a new generation of New Towns and Garden Cities and giving local authorities a new right to grow to deliver the homes their communities need."
"European Union (Approvals) Bill [Lords]","I beg to move, That the Bill be now read a Second time."
"Welfare Reforms and Poverty","I beg to move, That this House believes that a commission of inquiry should be established to investigate the impact of the Government’s welfare reforms on the incidence of poverty."
"New Probation Service Reform: Parliamentary Approval","I beg to move, That the clause be read a Second time."
"Opposition Day		 		Banking","I beg to move, That this House believes that Government reforms have failed to deliver a competitive banking system which serves the interests of consumers or the needs of businesses and the British economy; is concerned that customers have limited choice and low levels of trust and confidence in the banking market; is disappointed that recent legislation has fallen short of the recommendations of the Independent Commission on Banking which called for action to diversify the sector and ensure that major new banking service providers are created; believes that banker remuneration remains unacceptably high; regrets the fact that it has taken the EU to act to rein in excessive bonuses in Britain in the absence of domestic action, but believes that the Government as a majority shareholder in RBS should not approve any request to increase the cap; and calls on the Government to prevent a return to business-as-usual in the banking sector, which continues to require real reform and competition so that the UK can earn its way out of the cost of living crisis."
"Benefit Entitlement (Restriction) Bill","I beg to move, That the Bill be now Read a Second time."
